id,title,description,url,published_at
1001,"Windward (LON:WNWD) Stock Price Up 0.4% – Here’s What Happened","Windward Ltd. (LON:WNWD – Get Free Report) shot up 0.4% during trading on Friday . The stock traded as high as GBX 125 ($1.58) and last traded at GBX 122.50 ($1.54). 47,161 shares were traded during trading, a decline of 68% from the average session volume of…",https://www.etfdailynews.com/2024/11/16/windward-lonwnwd-stock-price-up-0-4-heres-what-happened/,"2024-11-16 08:44:56"
1002,"The Le Creuset Sale: When Retail Hype Becomes A Double-Edged Sword","Shoppers queued for hours in freezing conditions, some as long as four hours. Tempers frayed & social media filled with frustrated posts & local police were called",https://www.forbes.com/sites/katehardcastle/2024/11/16/the-le-creuset-sale-when-retail-hype-becomes-a-double-edged-sword/,"2024-11-16 08:44:19"
1003,"Atria Investments Inc Sells 2,215 Shares of SPS Commerce, Inc. (NASDAQ:SPSC)","Atria Investments Inc lowered its position in shares of SPS Commerce, Inc. (NASDAQ:SPSC – Free Report) by 19.7% during the 3rd quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The institutional investor ow…",https://www.etfdailynews.com/2024/11/16/atria-investments-inc-sells-2215-shares-of-sps-commerce-inc-nasdaqspsc/,"2024-11-16 08:43:02"
1004,"What is Cormark’s Forecast for Cresco Labs FY2024 Earnings?","Cresco Labs Inc. (OTCMKTS:CRLBF – Free Report) – Equities researchers at Cormark cut their FY2024 earnings per share (EPS) estimates for shares of Cresco Labs in a report issued on Monday, November 11th. Cormark analyst J. Pytlak now expects that the company …",https://www.etfdailynews.com/2024/11/16/what-is-cormarks-forecast-for-cresco-labs-fy2024-earnings/,"2024-11-16 08:40:55"
1005,"Bitcoin Exchange Reserves Hit 5-Year Low—What Does This Signal?","The Bitcoin market appears to have taken an intriguing turn as the asset’s reserves on centralized exchanges have hit the lowest levels since November 2018. This development, highlighted by a CryptoQuant analyst known as G a a h, points out a notable change i…",http://www.newsbtc.com/bitcoin-news/bitcoin-exchange-reserves-hit-5-year-low-what-does-this-signal/,"2024-11-16 08:30:40"
1006,"China economy: Is the latest stimulus enough to generate inflation?","China economy: Is the latest stimulus enough to generate inflation?",https://www.investing.com/news/stock-market-news/china-economy-is-the-latest-stimulus-enough-to-generate-inflation-3716600,"2024-11-16 08:30:00"
1007,[Removed],[Removed],https://removed.com,"2024-11-16 08:26:02"
1008,"MGP Ingredients, Inc. (NASDAQ:MGPI) Shares Bought by Assetmark Inc.","Assetmark Inc. raised its position in MGP Ingredients, Inc. (NASDAQ:MGPI – Free Report) by 6.5% during the 3rd quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The fund owned 11,383 shares of the company…",https://www.etfdailynews.com/2024/11/16/mgp-ingredients-inc-nasdaqmgpi-shares-bought-by-assetmark-inc/,"2024-11-16 08:25:03"
1009,"Jeffs’ Brands (NASDAQ:JFBR) Shares Scheduled to Reverse Split on Wednesday, November 20th","Jeffs’ Brands Ltd (NASDAQ:JFBR – Free Report)’s stock is set to reverse split on the morning of Wednesday, November 20th. The 1-13 reverse split was announced on Friday, November 15th. The number of shares owned by shareholders will be adjusted after the clos…",https://www.etfdailynews.com/2024/11/16/jeffs-brands-nasdaqjfbr-shares-scheduled-to-reverse-split-on-wednesday-november-20th-2/,"2024-11-16 08:22:50"
1010,"Women, Indigenous Communities Must Lead Climate Finance Allocations at COP29—Plan International Global Director","Plan International, a global leader in advocating for children’s rights and gender equality, sees the need for women and Indigenous people to be at the forefront of climate negotiations. Founded in 1937 during the Spanish Civil War, Plan International has spe…",https://www.ipsnews.net/2024/11/women-indigenous-communities-must-lead-climate-finance-allocations-at-cop29-plan-international-global-director/,"2024-11-16 08:19:16"
